Wall time,Step,Value
1745714056.9147506,1,-5000.0
1745714068.072435,2,-2069.199951171875
1745714098.1302414,3,-2069.199951171875
1745714098.6502516,4,-2069.199951171875
1745714099.6114674,5,-2069.199951171875
1745714111.269095,6,-2069.199951171875
1745714113.3932722,7,-2069.199951171875
1745714114.1000605,8,-2069.199951171875
1745714115.8285306,9,-2069.199951171875
1745714127.4986377,10,-2069.199951171875
1745714131.6637623,11,-2069.199951171875
1745714132.6515121,12,-2067.0
1745714133.8253868,13,-2067.0
1745714143.855737,14,-2067.0
1745714145.0547764,15,-2067.0
1745714147.1380718,16,-2067.0
1745714148.0990658,17,-2067.0
1745714158.894595,18,-2067.0
1745714188.973449,19,-2067.0
1745714191.3565261,20,-2067.0
1745714203.1959472,21,-2067.0
1745714203.8348732,22,-2067.0
1745714207.597057,23,-2067.0
1745714221.2436545,24,-2067.0
1745714222.6152494,25,-2067.0
1745714223.8255148,26,-2067.0
1745714233.6021035,27,-2067.0
1745714235.7749069,28,-2067.0
1745714236.9088771,29,-2067.0
1745714250.9735062,30,-2067.0
1745714252.8076978,31,-2067.0
1745714254.1470344,32,-2067.0
1745714256.1667562,33,-2067.0
1745714266.855368,34,-2067.0
1745714267.719455,35,-2067.0
1745714279.38329,36,-2067.0
1745714281.315166,37,-2067.0
1745714282.862258,38,-2067.0
1745714284.428579,39,-2067.0
1745714294.892497,40,-2067.0
1745714296.905018,41,-2067.0
1745714298.5970826,42,-2067.0
1745714311.6427677,43,-2067.0
1745714315.5462582,44,-2067.0
1745714321.0431051,45,-2067.0
1745714321.4800737,46,-2067.0
1745714335.174334,47,-2067.0
1745714336.6499767,48,-2067.0
1745714338.9157498,49,-2067.0
1745714350.4775434,50,-2067.0
1745714350.920681,51,-2067.0
1745714352.4646492,52,-2067.0
1745714352.8496766,53,-2067.0
1745714367.9647832,54,-2067.0
1745714379.1845975,55,-2067.0
1745714380.6279006,56,-2067.0
1745714381.1962507,57,-2067.0
1745714381.738998,58,-2067.0
1745714395.3269067,59,-2066.60009765625
1745714407.0234067,60,-2066.60009765625
1745714408.286134,61,-2066.60009765625
1745714408.9357436,62,-2066.60009765625
1745714424.657418,63,-2066.60009765625
1745714438.3678522,64,-2066.60009765625
1745714440.0707862,65,-2066.60009765625
1745714453.5364263,66,-2066.60009765625
1745714456.839945,67,-2066.60009765625
1745714458.9312813,68,-2066.60009765625
1745714460.9153814,69,-2066.60009765625
1745714473.7072487,70,-2066.60009765625
1745714476.7747123,71,-2066.60009765625
1745714490.3714936,72,-2066.60009765625
1745714492.333377,73,-2066.60009765625
1745714507.5696325,74,-2066.60009765625
1745714513.999163,75,-2066.60009765625
1745714525.8106697,76,-2066.60009765625
1745714527.5820224,77,-2066.60009765625
1745714528.881346,78,-2066.60009765625
1745714542.902044,79,-2066.60009765625
1745714544.539297,80,-2066.60009765625
1745714546.5453792,81,-2066.60009765625
1745714559.052694,82,-2066.60009765625
1745714561.2114282,83,-2066.60009765625
1745714575.4847329,84,-2066.60009765625
1745714577.5611207,85,-2066.60009765625
1745714579.29575,86,-2066.60009765625
1745714581.0848193,87,-2066.60009765625
1745714591.8941364,88,-2066.60009765625
1745714594.8046305,89,-2066.60009765625
1745714595.4542234,90,-2066.60009765625
1745714608.1990035,91,-2066.60009765625
1745714608.6740792,92,-2066.60009765625
1745714609.1975727,93,-2066.60009765625
1745714625.6609159,94,-2066.60009765625
1745714630.0645924,95,-2066.60009765625
1745714645.5990722,96,-2066.60009765625
1745714648.0616608,97,-2066.60009765625
1745714649.961697,98,-2066.60009765625
1745714664.5396414,99,-2066.60009765625
1745714665.9631958,100,-2066.60009765625
1745714667.297398,101,-2066.60009765625
1745714682.0824938,102,-2066.60009765625
1745714684.3871439,103,-2066.60009765625
1745714699.867069,104,-2066.60009765625
1745714701.6081293,105,-2066.60009765625
1745714703.4092164,106,-2066.60009765625
1745714705.6569164,107,-2066.60009765625
1745714718.9184096,108,-2066.60009765625
1745714720.6911535,109,-2066.60009765625
1745714722.0986555,110,-2066.60009765625
1745714735.2415512,111,-2066.60009765625
1745714736.638411,112,-2066.60009765625
1745714742.064551,113,-2066.60009765625
1745714757.2015693,114,-2066.60009765625
1745714760.4900634,115,-2066.60009765625
1745714774.7293212,116,-2066.60009765625
1745714775.6096551,117,-2066.60009765625
1745714792.8389401,118,-2066.60009765625
1745714793.4371085,119,-2066.60009765625
1745714806.9712071,120,-2066.60009765625
1745714807.7092848,121,-2066.60009765625
1745714808.344643,122,-2066.60009765625
1745714809.2222145,123,-2066.60009765625
1745714821.3614187,124,-2066.60009765625
1745714822.1411169,125,-2066.60009765625
1745714822.7773495,126,-2066.60009765625
1745714837.0964656,127,-2066.60009765625
1745714838.9201968,128,-2066.60009765625
1745714852.6515174,129,-2066.60009765625
1745714854.6574032,130,-2066.60009765625
1745714856.1858351,131,-2066.60009765625
1745714858.6862557,132,-2066.60009765625
1745714872.5085068,133,-2066.60009765625
1745714875.0025518,134,-2066.60009765625
1745714890.6795864,135,-2066.60009765625
1745714893.518802,136,-2066.60009765625
1745714896.3851578,137,-2066.60009765625
1745714911.1348073,138,-2066.60009765625
1745714912.927868,139,-2066.60009765625
1745714923.990158,140,-2066.60009765625
1745714924.7425787,141,-2066.60009765625
1745714941.079798,142,-2066.60009765625
1745714952.7323918,143,-2066.60009765625
1745714956.6948423,144,-2066.60009765625
1745714957.8525152,145,-2066.60009765625
1745714959.6146638,146,-2066.60009765625
1745714973.128413,147,-2066.60009765625
1745714973.848245,148,-2066.60009765625
1745714989.8634179,149,-2066.60009765625
1745714991.9879632,150,-2066.60009765625
1745714994.0837762,151,-2066.60009765625
1745715009.2530458,152,-2066.60009765625
1745715011.9441133,153,-2066.60009765625
1745715024.5810652,154,-2066.60009765625
1745715026.9666963,155,-2066.60009765625
1745715027.6667259,156,-2066.60009765625
1745715028.286706,157,-2066.60009765625
1745715042.894339,158,-2066.60009765625
1745715045.571475,159,-2066.60009765625
1745715058.6886802,160,-2066.60009765625
1745715061.443552,161,-2066.60009765625
1745715063.707243,162,-2066.60009765625
1745715079.997413,163,-2066.60009765625
1745715084.2257195,164,-2066.60009765625
1745715085.9131713,165,-2066.60009765625
1745715112.7083883,166,-2066.60009765625
1745715113.539334,167,-2066.60009765625
1745715114.3588967,168,-2066.60009765625
1745715115.0910897,169,-2066.60009765625
1745715128.075612,170,-2066.60009765625
1745715130.002899,171,-2066.60009765625
1745715160.3265564,172,-2066.60009765625
1745715188.697257,173,-2066.60009765625
1745715195.2673292,174,-2066.60009765625
1745715197.4087565,175,-2066.60009765625
1745715240.2128828,176,-2066.60009765625
1745715256.4386575,177,-2066.60009765625
1745715272.6307008,178,-2066.60009765625
1745715274.6883142,179,-2066.60009765625
1745715289.6746926,180,-2066.60009765625
1745715290.5318184,181,-2066.60009765625
1745715307.1365967,182,-2066.60009765625
1745715308.5438375,183,-2066.60009765625
1745715311.3092782,184,-2066.60009765625
1745715313.884854,185,-2066.60009765625
1745715346.838963,186,-2066.60009765625
1745715347.6257832,187,-2066.60009765625
1745715349.8286543,188,-2066.60009765625
1745715351.671957,189,-2066.60009765625
1745715373.016077,190,-2066.60009765625
1745715380.1606073,191,-2066.60009765625
1745715393.3539898,192,-2066.60009765625
1745715394.2544565,193,-2066.60009765625
1745715395.014836,194,-2066.60009765625
1745715410.3481264,195,-2066.60009765625
1745715412.5671651,196,-2066.60009765625
1745715426.133711,197,-2066.60009765625
1745715441.117773,198,-2066.60009765625
1745715442.0065866,199,-2066.60009765625
1745715458.7510242,200,-2066.60009765625
1745715461.0738099,201,-2066.60009765625
1745715462.1670482,202,-2066.60009765625
1745715478.4666183,203,-2066.60009765625
1745715493.625297,204,-2066.60009765625
1745715495.8799956,205,-2066.60009765625
1745715496.6787734,206,-2066.60009765625
1745715513.7246342,207,-2066.60009765625
1745715514.6020205,208,-2066.60009765625
1745715530.9060566,209,-2066.60009765625
1745715546.7652457,210,-2066.60009765625
1745715562.8853178,211,-2066.60009765625
1745715579.772058,212,-2066.60009765625
1745715582.628341,213,-2066.60009765625
1745715583.5129623,214,-2066.60009765625
1745715584.5317638,215,-2066.60009765625
1745715601.4098632,216,-2065.199951171875
1745715605.4254014,217,-2065.199951171875
1745715607.9238548,218,-2065.199951171875
1745715639.0949578,219,-2065.199951171875
1745715641.9624937,220,-2065.199951171875
1745715642.967264,221,-2065.199951171875
1745715659.3504167,222,-2065.199951171875
1745715664.507276,223,-2065.199951171875
1745715666.4428425,224,-2065.199951171875
1745715667.2275596,225,-2065.199951171875
1745715679.6734538,226,-2065.199951171875
1745715680.496429,227,-2065.199951171875
1745715683.7650168,228,-2065.199951171875
1745715686.0241845,229,-2065.199951171875
1745715704.2758691,230,-2065.199951171875
1745715709.0860426,231,-2065.199951171875
1745715722.9206395,232,-2065.199951171875
1745715724.832833,233,-2065.199951171875
1745715725.4769766,234,-2065.199951171875
1745715741.876275,235,-2065.199951171875
1745715744.2109113,236,-2065.199951171875
1745715757.8346045,237,-2065.199951171875
1745715758.498463,238,-2065.199951171875
1745715761.0872953,239,-2006.5999755859375
1745715775.9566977,240,-2006.5999755859375
1745715778.2301006,241,-2006.5999755859375
1745715780.286939,242,-2006.5999755859375
1745715799.3713996,243,-2006.5999755859375
1745715815.1014538,244,-2006.5999755859375
1745715821.9022892,245,-2006.5999755859375
1745715839.6460972,246,-2006.5999755859375
1745715842.553169,247,-2006.5999755859375
1745715845.5009117,248,-2006.5999755859375
1745715848.4500506,249,-2006.5999755859375
1745715869.3893557,250,-2006.5999755859375
1745715900.8572311,251,-2006.5999755859375
1745715925.008463,252,-2006.5999755859375
1745715939.743488,253,-2006.5999755859375
1745715951.9397466,254,-2006.5999755859375
1745715952.78239,255,-2006.5999755859375
1745715965.5510035,256,-2006.5999755859375
1745715966.8596854,257,-2006.5999755859375
1745715984.4931266,258,-2006.5999755859375
1745715991.5947075,259,-2006.5999755859375
1745716009.2426293,260,-2006.5999755859375
1745716011.826205,261,-2006.5999755859375
1745716034.7109625,262,-2006.5999755859375
1745716035.831802,263,-2006.5999755859375
1745716042.0182452,264,-2006.5999755859375
1745716057.0398428,265,-2006.5999755859375
1745716059.760402,266,-2006.5999755859375
1745716072.751908,267,-2006.5999755859375
1745716103.160007,268,-2006.5999755859375
1745716104.086647,269,-2006.5999755859375
1745716105.154892,270,-2006.5999755859375
1745716129.6045263,271,-2006.5999755859375
1745716132.074147,272,-2006.5999755859375
1745716151.9429104,273,-2006.5999755859375
1745716168.4214022,274,-2006.5999755859375
1745716172.084268,275,-2006.5999755859375
1745716188.4765759,276,-2006.5999755859375
1745716189.5734541,277,-2006.5999755859375
1745716208.6307642,278,-2006.5999755859375
1745716211.063905,279,-2006.5999755859375
1745716214.2735147,280,-2006.5999755859375
1745716231.3340824,281,-2006.5999755859375
1745716247.1097112,282,-2006.5999755859375
1745716249.3643076,283,-2006.5999755859375
1745716252.1243358,284,-2006.5999755859375
1745716255.535362,285,-2006.5999755859375
1745716273.8086326,286,-2006.5999755859375
1745716277.0627632,287,-2006.5999755859375
1745716279.90033,288,-2006.5999755859375
1745716295.8357382,289,-2006.5999755859375
1745716296.7953506,290,-2006.5999755859375
1745716327.7957041,291,-2006.5999755859375
1745716328.5984123,292,-2006.5999755859375
1745716330.6824381,293,-2006.5999755859375
1745716331.6858509,294,-2006.5999755859375
1745716352.4541495,295,-2006.5999755859375
1745716367.492247,296,-2006.5999755859375
1745716371.7151706,297,-2006.5999755859375
1745716393.0083835,298,-2006.5999755859375
1745716410.6091576,299,-2006.5999755859375
1745716412.8367712,300,-2006.5999755859375
1745716430.472058,301,-2006.5999755859375
1745716432.7429526,302,-2006.5999755859375
1745716446.5254164,303,-2006.5999755859375
1745716448.809976,304,-2006.5999755859375
1745716449.8015375,305,-2006.5999755859375
1745716451.4546928,306,-2006.5999755859375
1745716469.6132898,307,-2006.5999755859375
1745716480.4793658,308,-2006.5999755859375
1745716482.8915405,309,-2006.5999755859375
1745716497.7678876,310,-2006.5999755859375
1745716500.1419573,311,-2006.5999755859375
1745716515.376884,312,-2006.5999755859375
1745716517.7201123,313,-2006.5999755859375
1745716521.0668554,314,-2006.5999755859375
1745716538.374433,315,-2006.5999755859375
1745716540.6362386,316,-2006.5999755859375
1745716543.819767,317,-2006.5999755859375
1745716561.8909729,318,-2006.5999755859375
1745716589.4170156,319,-2006.5999755859375
1745716590.0799623,320,-2006.5999755859375
1745716608.0724823,321,-2006.5999755859375
1745716622.7570875,322,-2006.5999755859375
1745716639.1488628,323,-2006.5999755859375
1745716641.540642,324,-2006.5999755859375
1745716644.772966,325,-2006.5999755859375
1745716658.022006,326,-2006.5999755859375
1745716659.2224526,327,-2006.5999755859375
1745716660.6209002,328,-2006.5999755859375
1745716680.6579385,329,-2006.5999755859375
1745716686.878022,330,-2006.5999755859375
1745716692.370516,331,-2006.5999755859375
1745716708.1218717,332,-2006.5999755859375
1745716713.5785432,333,-2006.5999755859375
1745716781.3316188,334,-2006.5999755859375
1745716782.9742756,335,-2006.5999755859375
1745716834.6237092,336,-2006.5999755859375
1745716858.5464385,337,-2006.5999755859375
1745716873.7867436,338,-2006.5999755859375
1745716890.9616532,339,-2006.5999755859375
1745716928.9323132,340,-2006.5999755859375
1745716951.9319446,341,-2006.5999755859375
1745716983.9265807,342,-2006.5999755859375
1745717006.240678,343,-2006.5999755859375
1745717025.3252223,344,-2006.5999755859375
1745717037.570535,345,-2006.5999755859375
1745717038.527475,346,-2006.5999755859375
1745717041.4699566,347,-2006.5999755859375
1745717056.0834355,348,-2006.5999755859375
1745717057.1883664,349,-2006.5999755859375
1745717059.8332653,350,-2006.5999755859375
1745717077.93724,351,-2006.5999755859375
1745717080.553633,352,-2006.5999755859375
1745717081.7319334,353,-2006.5999755859375
1745717094.153451,354,-2006.5999755859375
1745717095.1506128,355,-2006.5999755859375
1745717096.9138792,356,-2006.5999755859375
1745717097.7836611,357,-2006.5999755859375
1745717143.742042,358,-2006.5999755859375
1745717182.7978947,359,-2006.5999755859375
1745717185.4702578,360,-2006.5999755859375
1745717188.4980865,361,-2006.5999755859375
1745717205.075849,362,-2006.5999755859375
1745717206.0787332,363,-2006.5999755859375
1745717207.240674,364,-2006.5999755859375
1745717226.2130742,365,-2006.5999755859375
1745717230.0645864,366,-2006.5999755859375
1745717252.6839025,367,-2006.5999755859375
1745717265.928816,368,-2006.5999755859375
1745717322.2794318,369,-2006.5999755859375
1745717325.5305014,370,-2006.5999755859375
1745717341.7539613,371,-2006.5999755859375
1745717343.2243197,372,-2006.5999755859375
1745717357.8765461,373,-2006.5999755859375
1745717359.1850193,374,-2006.5999755859375
1745717360.1947703,375,-2006.5999755859375
1745717366.9509683,376,-2006.5999755859375
1745717387.0210278,377,-2006.5999755859375
1745717389.468032,378,-2006.5999755859375
1745717391.8731277,379,-2006.5999755859375
1745717408.2292879,380,-2006.5999755859375
1745717409.5984364,381,-2006.5999755859375
1745717441.1255827,382,-2006.5999755859375
1745717502.4136431,383,-2006.5999755859375
1745717503.7319462,384,-2006.5999755859375
1745717504.8701,385,-2006.5999755859375
1745717522.0125213,386,-2006.5999755859375
1745717537.657446,387,-2006.5999755859375
1745717538.7430496,388,-2006.5999755859375
1745717539.8030128,389,-2006.5999755859375
1745717540.5598514,390,-2006.5999755859375
1745717560.3488169,391,-2006.5999755859375
1745717562.7144663,392,-2006.5999755859375
1745717564.8251767,393,-2006.5999755859375
1745717585.9107218,394,-2006.5999755859375
1745717605.298733,395,-2006.5999755859375
1745717643.1850202,396,-2006.5999755859375
1745717644.5186086,397,-2006.5999755859375
1745717689.0813117,398,-2006.5999755859375
1745717692.532984,399,-2006.5999755859375
1745717712.2389426,400,-2006.5999755859375
1745717714.9308991,401,-2006.5999755859375
1745717718.109705,402,-2006.5999755859375
1745717736.609652,403,-2006.5999755859375
1745717737.4654605,404,-2006.5999755859375
1745717738.215919,405,-2006.5999755859375
1745717776.6445568,406,-2006.5999755859375
1745717779.2567673,407,-2006.5999755859375
1745717801.7106843,408,-2006.5999755859375
1745717806.7340686,409,-2006.5999755859375
1745717828.072119,410,-2006.5999755859375
1745717835.5498211,411,-2006.5999755859375
1745717838.7951596,412,-2006.5999755859375
1745717840.9602332,413,-2006.5999755859375
1745717853.101236,414,-2006.5999755859375
1745717854.1380048,415,-2006.5999755859375
1745717855.1438515,416,-2006.5999755859375
1745717879.3746111,417,-2006.5999755859375
1745717919.7854972,418,-2006.5999755859375
1745717925.5753465,419,-2006.5999755859375
1745717927.644088,420,-2006.5999755859375
1745717948.3084528,421,-2006.5999755859375
1745717951.3203473,422,-2006.5999755859375
1745717953.0621753,423,-2006.5999755859375
1745717993.3590841,424,-2006.5999755859375
1745718028.8454075,425,-2006.5999755859375
1745718032.4432654,426,-2006.5999755859375
1745718093.1684015,427,-2006.5999755859375
1745718110.1068778,428,-2006.5999755859375
1745718126.2512412,429,-2006.5999755859375
1745718128.7191617,430,-2006.5999755859375
1745718150.5511858,431,-2006.5999755859375
1745718239.5803082,432,-2006.5999755859375
1745718241.4313967,433,-2006.5999755859375
1745718290.6557357,434,-2006.5999755859375
1745718315.7318473,435,-2006.5999755859375
1745718319.0457203,436,-2006.5999755859375
1745718322.82803,437,-2006.5999755859375
1745718350.5978281,438,-2006.5999755859375
1745718369.0890703,439,-2006.5999755859375
1745718376.7140765,440,-2006.5999755859375
1745718428.9109774,441,-2006.5999755859375
1745718450.5398543,442,-2006.5999755859375
1745718453.384578,443,-2006.5999755859375
1745718456.3785088,444,-2006.5999755859375
1745718492.4740477,445,-2006.5999755859375
1745718493.6285806,446,-2006.5999755859375
1745718505.9433675,447,-2006.5999755859375
