Wall time,Step,Value
1745741821.0577319,1,-500.0
1745741831.4382496,2,-212.0
1745741832.0352345,3,-212.0
1745741866.2300227,4,-212.0
1745741867.0858297,5,-212.0
1745741867.5742686,6,-212.0
1745741877.53584,7,-212.0
1745741897.0457342,8,-212.0
1745741897.9115922,9,-212.0
1745741907.1578703,10,-212.0
1745741928.2748046,11,-212.0
1745741943.608137,12,-212.0
1745741952.84269,13,-212.0
1745741953.3740864,14,-212.0
